NN3_101,2071,1982,1,12,reduced,4998,4480,4824,4814,4602,4499,4594,4600,4507,4606,4503,4801,4564,4142,4818,4408,4496,4587,4656,4799,4652,4638,4650,5185,5208,4477,4976,4670,4842,4713,4804,4996,4574,4841,4688,4766,4994,4514,4766,4642,4806,4645,4784,4979,4530,4942,4651,5150,4987,4532,5046,4783,4958,4815,5055,5152,4773,5147,4866,5311,5172,4734,5011,4957,4968,5049,5305,5067,5001,5252,4903,5408,5395,5150,5460,4968,5021,5118,5175,5420,5121,5450,5286,5693,5353,5017,5577,4987,5129,5249,5100,5382,5039,5364,5193,5846,5259,4809,5297,5034,5243,5150,5296,5596,4954,5250,5009,5113,5237,4575,5026,4842,5019,5063,5261,5327,5054,5269,5019,5315,5274,4899,5216,5029,5110,5093,5314,5248,5063,5409,5127,5558,5116,4922,5503,5039,5116,5109,5334,5324,5313,5341,5306,5545
NN3_102,2088,1979,1,12,reduced,5033,4509.5,3970,3378,2866,2315.5,1895,8401.5,8040,7534,7135.5,6466.5,5661.5,4896,4064.5,3296,2593.5,2007,1513.5,6645,6221.5,5474,5135.5,4630.5,4164,3600.5,2969,2503.5,2054.5,1608.5,1297.5,8485,8163.5,7814,7453.5,6888.5,6283.5,5712,5030,4488,4058.5,3585,3199.5,8181,8219.5,7865.5,7516.5,7116,6615.5,6216.5,5699.5,5179,4727.5,4224.5,3780.5,7023.5,6558,6257.5,5862.5,5343,4756,4173.5,3451.5,2849,2351,1887.5,1416.5,7399,7013,6644.5,6238.5,5721,5137.5,4357,3750.5,3324,2861,2455.5,2027.5,8388.5,7910,7686,7163,6841.5,6448.5,6060.5,5739,5362.5,5081,4764,4522.5,9056.5,8352,7683,7319.5,6708,6204.5,5576.5,4776.5,4279.5,3918,3288.5,2393.5,8131.5,8121,7790.5,7411.5,6861,6197,5622.5,4855.5,4303.5,3853.5,3283.5,2861.5,9486.5,9061,8877.5,8557.5,8031,7404.5,6852.5,6174.5,5341.5,4975.5,4290,3492.5,8691,8097.5,7578.5,6958.5,6401.5,5644.5,4947,4016.5,3487.5,2889,2168.5,1614,7987,7257,6927.5,6586.5,5989
NN3_103,2090,1979,1,12,reduced,5304,4264,3224,2400,1968,1532,1000,55024,53804,42540,26572,15748,10372,8980,7212,7504,3848,2684,1000,43560,40320,28096,17804,10008,6136,4216,2424,1840,1112,324,100,58676,54768,43624,28680,15008,9028,7240,4884,3812,3696,2912,1200,42468,41900,30180,16836,9732,5728,5728,3584,3068,2992,1092,600,28268,26652,19068,10024,4636,4888,5100,4664,3848,3772,2964,1200,50368,47796,38376,17728,12832,7768,5192,3896,4128,3716,2500,1700,5304,45856,34592,19172,9496,5960,4500,7560,3608,2948,3148,600,4196,32476,21144,15652,10160,7308,5568,3724,4064,5024,4388,1200,49504,43196,30608,19300,10100,5880,5248,3812,3164,3872,3044,1200,55896,49948,35900,19352,7828,4324,4104,3972,2828,4304,4876,1800,47228,44588,28908,11260,5828,4416,4612,3084,3372,3516,1940,1476,54960,46128,28840,14916,6088
NN3_104,2148,1983,1,12,reduced,685,656,1288,3914,6837,7104,7464,6308,5549,6365,6344,5597,1178,1581,1870,5230,8046,7997,9216,8077,6021,6399,6857,3446,1544,2031,2561,5166,7470,6849,6968,7253,6413,5854,5710,4926,1300,2200,2782,4708,6792,6193,5647,4317,4628,4658,4552,4349,1642,1069,2244,4551,5242,6225,6175,6090,6431,6769,6393,6704,4632,2757,2999,6150,6780,6785,7229,7243,6907,6673,6348,7166,4162,3295,3903,5996,7331,6850,7178,7342,6699,6642,6176,5580,3401,2508,3128,5936,7095,7490,8205,8163,7080,7521,6923,6347,3169,1802,2574,5016,6280,6520,6658,6513,6964,6508,5969,6134,2851,2122,2791,5516,6887,7446,7158,6658,6423,6351,5735,5820,2966,2089,2892,5992,6718,9275,7163,6915,6919,5870,6316,6036,3021,,,,,,,,,,,
NN3_105,1918,1981,1,12,reduced,5006.9,5165.1,4975.5,4983.6,5105.4,5025.5,4847.8,4963.3,4796,5042,5027.8,4668.3,4646.2,4912.4,5040.5,5100.9,5143.3,4998.2,5053.2,5024.4,5298.8,4946.7,4871.8,4563.4,4580.1,4909.2,5002.2,5126.9,5060.4,4946.7,4810.4,4589.3,4408,4558.3,4509.1,4330.7,4769.8,4925.6,4679.1,4775.3,4707.1,4609,4644,4640.6,4435.9,4574.1,4502.7,4291.8,4479.2,3929.8,3859.9,4065.2,3741.4,3651.2,3652.7,3532.4,3607.3,3778.1,4019.4,3884.3,3849.9,4041.5,4215.9,4116.9,4231.8,4212.3,4066.1,4147.6,4060.1,4192,4248.5,3991.2,4100.9,4215.5,4302.4,4253,4269.1,4192.5,4101.9,4249.9,4134.3,4288.1,4383.6,4192.6,4057.1,4234.9,4419.8,4462.2,4464.4,4329.5,4413,4323.4,4214.9,4452.6,4484,4229.6,4229.3,4362.8,4442,4451.5,4455.2,4354.9,4408.8,4386.5,4350,4448.4,4492.3,4205.3,4369.7,4489.4,4515.5,4536.9,4440.8,4446.6,4477.4,4367.5,4395.6,4528.1,4554.3,4316.2,4481.7,4719,4854.7,4819.5,4704.1,4607.9,4544.3,4450.8,4348.6,4410.3,4563.8,4405.8,4520.8,4857.9,4972.6,4894.7,4814.5,4621.5,4529.7,4540.7,4432.7,4506.9,4664.6,4591.4
NN3_106,1987,1979,1,12,reduced,4950,4900,5500,5550,5900,5150,5700,6450,4800,6300,5700,4900,4900,5500,5550,5200,5500,4950,5900,5700,5300,5550,4600,5650,4950,4850,5050,5500,5300,5250,6100,5200,6400,5700,5000,5400,4250,4950,5750,4600,4450,5400,4600,5400,4850,4100,4650,4700,3900,4200,5050,4250,4900,5250,4250,5700,4950,4200,4450,4850,5600,5150,5650,4850,6000,5200,5400,5500,4700,4900,4550,4500,4950,4550,5350,4900,5050,5150,5300,5350,4950,5150,4800,4700,4450,4250,4900,4850,4850,5300,5600,6150,5500,5550,4300,4800,4650,4500,4650,4800,5000,5200,5500,5500,5950,5500,4800,5300,5000,4950,5250,4900,5300,5750,5400,5750,5100,4550,4650,5000,4350,4250,5200,4600,4800,5100,4950,5400,5150,5250,5200,4700,5150,4600,4950,4700,5150,5100,5300,5600,5000,5350,4800,4650
NN3_107,2076,1982,1,12,reduced,4318,4224,4014,3620,3512,3590,3700,3752,3866,3892,3838,3936,4200,4184,3708,3708,3760,3708,3846,3748,3836,3790,3968,3756,3760,3986,4096,4194,4254,4130,4044,3766,3930,3910,4024,4158,4018,3836,3764,3684,3668,3770,3888,3808,3794,3646,3712,3848,4064,4156,3724,3520,3796,3956,3840,3794,3970,3740,3860,3928,4260,4180,4144,4058,3954,3890,3816,3800,3868,3682,3804,3822,4062,4102,3928,3842,3816,3534,3624,3708,3692,3646,3716,3840,4154,4118,3824,3804,3706,3602,3842,3676,3750,3696,3742,3582,3966,4060,3748,3720,3604,3548,3626,3484,3792,3638,3574,3648,3750,3610,3462,3418,3478,3574,3466,3468,3586,3366,3500,3666,3858,3842,3668,3700,3748,3790,3640,3364,3400,3374,3564,3582,3940,4034,3776,3694,3742,3700,3550,3338,3428,3510,3652,3750
NN3_108,2190,1983,1,12,reduced,1740,1005,1792.5,1965,2085,2440,2317.5,2312.5,2667.5,3655,2245,3000,2795,3492.5,3097.5,3665,6555,3040,8877.5,3280,3202.5,4592.5,2600,4802.5,3685,3687.5,2615,3070,2597.5,2617.5,2500,2685,2500,3692.5,1177.5,2922.5,2787.5,2090,2735,2855,3225,2217.5,2060,1965,1755,2465,2432.5,2465,2385,2457.5,2037.5,2537.5,2165,4390,3045,2282.5,2837.5,3462.5,2410,3357.5,3677.5,2382.5,3127.5,2885,4092.5,7222.5,3397.5,3900,3085,2342.5,4532.5,3502.5,3192.5,3350,3495,4487.5,2867.5,4092.5,2877.5,3542.5,5507.5,3005,2775,2387.5,3007.5,3912.5,3382.5,4130,3432.5,3832.5,4375,2412.5,2760,4285,3305,5885,3490,2945,2595,2862.5,2170,2097.5,2382.5,5467.5,3537.5,3440,3457.5,2962.5,2942.5,2832.5,2970,3075,2490,3297.5,2537.5,3437.5,3557.5,4387.5,1950,2817.5,2422.5,3537.5,4465,4835,2595,3910,5637.5,3672.5,3870,5747.5,3362.5,4505,4520,4887.5,,,,,,,,,,
NN3_109,2057,1980,1,12,reduced,6318,5991,6405,6230,6111,5317,4893,4867,4785,5099,5142,5335,5450,5161,5516,4850,4250,4451,5442,5426,5329,5150,5030,4833,4437,4334,4165,3704,3616,3476,3118,3056,2922,2755,2691,2586,2810,2740,2565,3204,3149,2732,3267,3250,3194,3304,3332,3458,3787,3588,3839,4177,4097,3561,3636,3618,3555,3315,3344,3470,3461,3280,3508,3849,3776,3281,3434,3417,3358,3163,3190,3311,3505,3322,3553,3599,3531,3069,2589,2576,2532,2519,2541,2637,2641,2502,2677,3294,3232,2809,3263,3246,3190,3295,3323,3449,3462,3294,3592,3505,3682,3350,3601,3414,3457,3545,3399,3564,3568,3295,3722,3613,3525,3368,3527,3336,3320,3599,3301,3195,3354,3025,3369,3357,3501,3331,3275,3397,3276,3450,3351,3139,3031,2566,2985,2675,2710,2690,2929,2916,2932,,,
NN3_110,2093,1978,1,12,reduced,2605,2510,3520,3200,2550,2640,2280,2620,1940,1415,1775,2320,2585,2885,2870,3010,2710,3070,2050,2315,2140,1950,3150,4510,3685,5125,5750,4580,4555,3430,2700,2010,1965,1185,2180,2705,3345,11760,3665,2490,2290,1600,1320,4950,1305,1310,2390,3685,3265,3770,4365,3380,2420,2490,1980,1710,1755,1465,1910,1885,2190,1840,2435,3060,2320,4155,2045,1915,1610,1305,2205,3160,3315,3595,4480,3615,3035,2110,1825,2260,1320,1460,2420,3145,3965,3830,3125,2720,2130,1765,1260,965,935,1035,1115,935,1980,900,880,815,380,275,105,1305,1730,1570,2645,15745,2145,2495,2975,2645,2560,2110,2000,1975,1475,1730,2900,3405,3130,3490,3675,2705,2440,2615,1515,1245,1245,1120,1895,3160,2240,3420,3095,3050,3360,1165,4250,2400,2330,2475,2480,3250
NN3_111,2097,1978,1,12,reduced,3140,3270,3690,4360,3520,4140,3440,3750,4140,5610,5350,4270,3160,2560,3410,3670,3670,3200,3700,3430,4130,4870,6310,4680,2380,3430,2950,3130,3650,2980,3720,2960,4300,5550,4380,3620,3350,3300,3800,3420,3860,2900,3240,3150,4460,5040,4660,3450,2660,2400,2200,3020,3450,4110,2760,3390,3740,4830,4450,3140,4700,2330,2740,2480,2690,5850,2450,3720,2780,5690,4150,4460,2730,3580,2870,4210,4500,3560,3800,3260,3410,3860,5000,3840,3210,2930,3630,2760,3310,4320,3010,3440,5100,4170,4540,3410,2590,2640,2970,3000,2900,3010,3380,3060,3100,3940,5360,3280,3190,4950,2910,2820,3050,2930,2800,3220,3120,4000,4840,2630,2920,2350,2850,2700,2870,2580,2450,2950,3350,4450,4210,2650,2414,2823,2444,2666,3052,2397,2463,3385,3290,5408,4000,2513